bottomc TotalCurrent(n2_des) X,bottomc TotalCurrent(n2_des) Y,bottomc TotalCurrent(n328_des) X,bottomc TotalCurrent(n328_des) Y,bottomc TotalCurrent(n340_des) X,bottomc TotalCurrent(n340_des) Y,bottomc TotalCurrent(n352_des) X,bottomc TotalCurrent(n352_des) Y,bottomc TotalCurrent(n364_des) X,bottomc TotalCurrent(n364_des) Y
-1.5,1.3274437e-49,-1.5,-6.8496627e-52,-1.5,-6.1818038e-53,-1.5,1.966247e-53,-1.5,3.6032922e-54
-1.5,1.3274437e-49,-1.5,-6.8496627e-52,-1.5,-6.1818038e-53,-1.5,1.966247e-53,-1.5,3.6032922e-54
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
-1.5,2.541341e-17,-1.5,2.5411627e-17,-1.5,2.5373436e-17,-1.5,2.5427402e-17,-1.5,2.5380349e-17
