bottomc TotalCurrent(n16_des) X,bottomc TotalCurrent(n16_des) Y,bottomc TotalCurrent(n36_des) X,bottomc TotalCurrent(n36_des) Y,bottomc TotalCurrent(n51_des) X,bottomc TotalCurrent(n51_des) Y,bottomc TotalCurrent(n66_des) X,bottomc TotalCurrent(n66_des) Y,bottomc TotalCurrent(n81_des) X,bottomc TotalCurrent(n81_des) Y
-1.5,2.1870101e-51,-1.5,-3.0846376e-52,-1.5,-1.1783878e-52,-1.5,1.0830839e-52,-1.5,-3.3968543e-52
-1.5,1.0261993e-52,-1.5,-3.681352e-51,-1.5,-4.8671263e-51,-1.5,1.0043736e-51,-1.5,5.024049e-50
-1.5,1.0975854e-17,-1.5,1.0974436e-17,-1.5,1.0965192e-17,-1.5,1.0973498e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974436e-17,-1.5,1.0965192e-17,-1.5,1.0973498e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974436e-17,-1.5,1.0965192e-17,-1.5,1.0973498e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974436e-17,-1.5,1.0965192e-17,-1.5,1.0973498e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974436e-17,-1.5,1.0965192e-17,-1.5,1.0973498e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974436e-17,-1.5,1.0965192e-17,-1.5,1.0973498e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974436e-17,-1.5,1.0965192e-17,-1.5,1.0973498e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974436e-17,-1.5,1.0965192e-17,-1.5,1.0973498e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974436e-17,-1.5,1.0965192e-17,-1.5,1.0973498e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974436e-17,-1.5,1.0965192e-17,-1.5,1.0973498e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974436e-17,-1.5,1.0965192e-17,-1.5,1.0973498e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974436e-17,-1.5,1.0965192e-17,-1.5,1.0973498e-17,-1.5,1.0978718e-17
-1.5,1.0975854e-17,-1.5,1.0974436e-17,-1.5,1.0965192e-17,-1.5,1.0973498e-17,-1.5,1.0978718e-17
